------------------------------------
Optical Potential Information
------------------------------------
    r [fm]   V_real [MeV]   V_imag [MeV]  SO_real [MeV]  SO_imag [MeV]  Coulomb [MeV] 1/r^2 [1/fm^2]
      12.4              0              0    1.47687e-06              0              0     0.00650364
      12.5              0              0    1.32568e-06              0              0         0.0064
      12.6              0              0    1.19005e-06              0              0     0.00629882
      12.7              0              0    1.06835e-06              0              0     0.00620001
      12.8              0              0    9.59157e-07              0              0     0.00610352
      12.9              0              0    8.61174e-07              0              0     0.00600925
        13              0              0    7.73245e-07              0              0     0.00591716
      13.1              0              0    6.94334e-07              0              0     0.00582717
      13.2              0              0    6.23511e-07              0              0     0.00573921
      13.3              0              0    5.59943e-07              0              0     0.00565323
      13.4              0              0    5.02884e-07              0              0     0.00556917
      13.5              0              0    4.51663e-07              0              0     0.00548697
      13.6              0              0    4.05682e-07              0              0     0.00540657
      13.7              0              0    3.64401e-07              0              0     0.00532793
      13.8              0              0    3.27337e-07              0              0       0.005251
      13.9              0              0    2.94059e-07              0              0     0.00517572
        14              0              0    2.64177e-07              0              0     0.00510204
      14.1              0              0    2.37344e-07              0              0     0.00502993
      14.2              0              0    2.13246e-07              0              0     0.00495933
      14.3              0              0    1.91605e-07              0              0     0.00489021
      14.4              0              0    1.72168e-07              0              0     0.00482253
      14.5              0              0    1.54711e-07              0              0     0.00475624
      14.6              0              0     1.3903e-07              0              0     0.00469131
      14.7              0              0    1.24944e-07              0              0      0.0046277
      14.8              0              0    1.12291e-07              0              0     0.00456538
      14.9              0              0    1.00923e-07              0              0      0.0045043
        15              0              0    9.07106e-08              0              0     0.00444444
------------------------------------
