------------------------------------
Optical Potential Information
------------------------------------
    r [fm]   V_real [MeV]   V_imag [MeV]  SO_real [MeV]  SO_imag [MeV]  Coulomb [MeV] 1/r^2 [1/fm^2]
      12.7    8.29459e-06              0              0              0              0     0.00620001
      12.8    7.50526e-06              0              0              0              0     0.00610352
      12.9    6.79104e-06              0              0              0              0     0.00600925
        13    6.14479e-06              0              0              0              0     0.00591716
      13.1    5.56004e-06              0              0              0              0     0.00582717
      13.2    5.03094e-06              0              0              0              0     0.00573921
      13.3    4.55218e-06              0              0              0              0     0.00565323
      13.4    4.11899e-06              0              0              0              0     0.00556917
      13.5    3.72701e-06              0              0              0              0     0.00548697
      13.6    3.37234e-06              0              0              0              0     0.00540657
      13.7    3.05142e-06              0              0              0              0     0.00532793
      13.8    2.76104e-06              0              0              0              0       0.005251
      13.9     2.4983e-06              0              0              0              0     0.00517572
        14    2.26055e-06              0              0              0              0     0.00510204
      14.1    2.04543e-06              0              0              0              0     0.00502993
      14.2    1.85078e-06              0              0              0              0     0.00495933
      14.3    1.67466e-06              0              0              0              0     0.00489021
      14.4    1.51529e-06              0              0              0              0     0.00482253
      14.5     1.3711e-06              0              0              0              0     0.00475624
      14.6    1.24062e-06              0              0              0              0     0.00469131
      14.7    1.12256e-06              0              0              0              0      0.0046277
      14.8    1.01573e-06              0              0              0              0     0.00456538
      14.9    9.19073e-07              0              0              0              0      0.0045043
        15    8.31612e-07              0              0              0              0     0.00444444
      15.1    7.52474e-07              0              0              0              0     0.00438577
      15.2    6.80866e-07              0              0              0              0     0.00432825
      15.3    6.16073e-07              0              0              0              0     0.00427186
      15.4    5.57446e-07              0              0              0              0     0.00421656
      15.5    5.04398e-07              0              0              0              0     0.00416233
      15.6    4.56398e-07              0              0              0              0     0.00410914
      15.7    4.12966e-07              0              0              0              0     0.00405696
      15.8    3.73667e-07              0              0              0              0     0.00400577
------------------------------------
